"","geneID","Geneid","is_re","mgi_symbol","entrezgene_id","meanExpr","logFC_cGASKOvsWT","pval_cGASKOvsWT","padj_cGASKOvsWT","sig_cGASKOvsWT"
"3066","Ctf1","ENSMUSG00000042340",FALSE,"Ctf1",13019,1.27136943559446,-0.0668336190257381,0.828683865787001,0.943707197241145,"Not Sig."
"3067","Cth","ENSMUSG00000028179",FALSE,"Cth",107869,8.09704453055208,-0.350916046803279,0.245916036526521,0.573259255691642,"Not Sig."
"3068","Cthrc1","ENSMUSG00000054196",FALSE,"Cthrc1",68588,28.3499327826372,-0.615432203108221,0.0941690812547565,0.374752997357892,"Not Sig."
"3069","Ctif","ENSMUSG00000052928",FALSE,"Ctif",269037,44.0806609218542,-0.165311492574596,0.142699196050073,0.450937837459145,"Not Sig."
"3070","Ctla2a","ENSMUSG00000044258",FALSE,"Ctla2a",13024,9.3330062880968,0.00926809237751049,0.985476016000564,0.996867691115484,"Not Sig."
"3071","Ctla2b","ENSMUSG00000074874",FALSE,"Ctla2b",13025,7.71645470548527,0.356268073572656,0.218028114535131,0.545536925371242,"Not Sig."
"3072","Ctnna1","ENSMUSG00000037815",FALSE,"Ctnna1",12385,261.417973818229,-0.0245952337447057,0.850490031549708,0.951892444177956,"Not Sig."
"3073","Ctnnal1","ENSMUSG00000038816",FALSE,"Ctnnal1",54366,5.99821857546666,-0.565587067188685,0.105816181777304,0.394136056326751,"Not Sig."
"3074","Ctnnb1","ENSMUSG00000006932",FALSE,"Ctnnb1",12387,411.051057349631,0.0989377946100109,0.288606073515208,0.61699748280829,"Not Sig."
"3075","Ctnnbip1","ENSMUSG00000028988",FALSE,"Ctnnbip1",67087,15.4450406288975,0.204592484492118,0.153186877326075,0.464981333176266,"Not Sig."
"3076","Ctnnbl1","ENSMUSG00000027649",FALSE,"Ctnnbl1",66642,20.5596330106094,0.175096063010027,0.10771271395717,0.397576686515438,"Not Sig."
"3077","Ctnnd1","ENSMUSG00000034101",FALSE,"Ctnnd1",12388,235.245760422187,-0.0943185539804473,0.352667294797227,0.670923200773582,"Not Sig."
"3078","Ctnnd2","ENSMUSG00000022240",FALSE,"Ctnnd2",18163,5.14767840730296,-0.0189928329867727,0.936202605157798,0.980458048042187,"Not Sig."
"3079","Ctns","ENSMUSG00000005949",FALSE,"Ctns",83429,26.4778777042761,0.384119322854775,0.00172252185099106,0.0604078956221126,"Not Sig."
"3080","Ctps1","ENSMUSG00000028633",FALSE,"Ctps1",51797,143.878303030893,-0.0711684689274932,0.509780995402699,0.779755592605699,"Not Sig."
"3081","Ctps2","ENSMUSG00000031360",FALSE,"Ctps2",55936,44.4957043828216,0.150651736375597,0.101391692206383,0.386300059702332,"Not Sig."
"3082","Ctr9","ENSMUSG00000005609",FALSE,"Ctr9",22083,56.2861428076955,-0.0438702709923111,0.692321249981409,0.880893869068795,"Not Sig."
"3083","Ctrl","ENSMUSG00000031896",FALSE,"Ctrl",109660,0.238086574043095,-0.510841075320575,0.314287290279499,0.639296766046373,"Not Sig."
"3084","Ctsa","ENSMUSG00000017760",FALSE,"Ctsa",19025,796.319502541913,0.225970645227379,0.347441105633307,0.666528414487511,"Not Sig."
"3085","Ctsb","ENSMUSG00000021939",FALSE,"Ctsb",13030,7687.87678193898,0.368769578800898,0.134590749048656,0.439233455881785,"Not Sig."
"3086","Ctsc","ENSMUSG00000030560",FALSE,"Ctsc",13032,341.536334800649,0.370168821517062,0.163018880075934,0.478663241768557,"Not Sig."
"3087","Ctsd","ENSMUSG00000007891",FALSE,"Ctsd",13033,5454.05808782466,0.319339841100505,0.143127904294262,0.451945258904145,"Not Sig."
"3088","Ctse","ENSMUSG00000004552",FALSE,"Ctse",13034,0.538305231558429,0.404728670476135,0.252078046589824,0.580379056517518,"Not Sig."
"3089","Ctsf","ENSMUSG00000083282",FALSE,"Ctsf",56464,25.7149641309461,0.207202212762502,0.34945744123418,0.668982767587489,"Not Sig."
"3090","Ctsh","ENSMUSG00000032359",FALSE,"Ctsh",13036,90.3790458241958,0.166193757586602,0.46573757448763,0.752455366241884,"Not Sig."
"3091","Ctsk","ENSMUSG00000028111",FALSE,"Ctsk",13038,32.8446634373935,-0.264871646545382,0.154336290156408,0.465806706519445,"Not Sig."
"3092","Ctsl","ENSMUSG00000021477",FALSE,"Ctsl",13039,792.043941547194,0.148961381119423,0.172991607666251,0.491463442799812,"Not Sig."
"3093","Ctso","ENSMUSG00000028015",FALSE,"Ctso",229445,35.1815141369536,0.434955111571034,0.00802502025491981,0.118297049305792,"Not Sig."
"3094","Ctss","ENSMUSG00000038642",FALSE,"Ctss",13040,695.061478628728,0.296687445130033,0.290152802322867,0.61815012351012,"Not Sig."
"3095","Ctsw","ENSMUSG00000024910",FALSE,"Ctsw",13041,0.484075934972766,-0.629395370705372,0.0277594519413963,0.206807916963402,"Not Sig."
"3096","Ctsz","ENSMUSG00000016256",FALSE,"Ctsz",64138,528.655460559192,0.27754911376846,0.158067664185572,0.472338254088148,"Not Sig."
"3097","Cttn","ENSMUSG00000031078",FALSE,"Cttn",13043,193.317077005558,-0.171833531077644,0.292204071434121,0.620155824100058,"Not Sig."
"3098","Cttnbp2","ENSMUSG00000000416",FALSE,"Cttnbp2",30785,0.146471751413668,-0.439326648274238,0.55839904883278,0.810804227511464,"Not Sig."
"3099","Cttnbp2nl","ENSMUSG00000062127",FALSE,"Cttnbp2nl",80281,103.893136888024,0.102860874683877,0.303272179893272,0.629318758877383,"Not Sig."
"3100","Ctu1","ENSMUSG00000038888",FALSE,"Ctu1",233189,8.8115411168578,0.112670553837539,0.373788369755942,0.688621555614982,"Not Sig."
"3101","Ctu2","ENSMUSG00000049482",FALSE,"Ctu2",66965,55.8279533254402,-0.129977210379258,0.299451395665049,0.625790189117904,"Not Sig."
"3102","Ctxn1","ENSMUSG00000048644",FALSE,"Ctxn1",330695,15.3642796229523,0.0991819775172046,0.727353256287006,0.897511899625263,"Not Sig."
"3103","Ctxnd1","ENSMUSG00000097789",FALSE,"Ctxnd1",100039239,30.7922773581503,-0.0625379961296859,0.858725255213386,0.954788725532499,"Not Sig."
"3104","Cubn","ENSMUSG00000026726",FALSE,"Cubn",65969,1.23308210475505,-0.371782937957787,0.169983497786673,0.487343746342549,"Not Sig."
"3105","Cuedc1","ENSMUSG00000018378",FALSE,"Cuedc1",70393,27.3419570603575,-0.22883243288785,0.0570134179522648,0.295540754387807,"Not Sig."
"3106","Cuedc2","ENSMUSG00000036748",FALSE,"Cuedc2",67116,51.7657266537689,0.289404598345244,0.0264538882693655,0.201507329261077,"Not Sig."
"3107","Cul1","ENSMUSG00000029686",FALSE,"Cul1",26965,87.2217957520327,-0.0118843406952675,0.892646120040288,0.967757701772398,"Not Sig."
"3108","Cul2","ENSMUSG00000024231",FALSE,"Cul2",71745,46.1096398058013,-0.0180615818535205,0.806234267839015,0.934498810449767,"Not Sig."
"3109","Cul3","ENSMUSG00000004364",FALSE,"Cul3",26554,109.983131589386,-0.119426197008443,0.149006643611996,0.459394085488009,"Not Sig."
"3110","Cul4a","ENSMUSG00000031446",FALSE,"Cul4a",99375,102.128894654494,-0.0189575018441167,0.804087697766609,0.933505830773579,"Not Sig."
"3111","Cul4b","ENSMUSG00000031095",FALSE,"Cul4b",72584,59.8549237154716,-0.160543862328671,0.0473984578400147,0.270507608806813,"Not Sig."
"3112","Cul5","ENSMUSG00000032030",FALSE,"Cul5",75717,67.2681434065752,-0.0812765969532677,0.444229444867624,0.739467203088543,"Not Sig."
"3113","Cul7","ENSMUSG00000038545",FALSE,"Cul7",66515,110.740755052547,-0.0435553630614137,0.63803949533288,0.855764198151458,"Not Sig."
"3114","Cul9","ENSMUSG00000040327",FALSE,"Cul9",78309,47.0670606707915,0.16592041998758,0.423368538565855,0.725133811228144,"Not Sig."
"3115","Cuta","ENSMUSG00000024194",FALSE,"Cuta",67675,37.6918171483905,0.25876206850384,0.00996485057113512,0.128561798794662,"Not Sig."
"3116","Cutc","ENSMUSG00000025193",FALSE,"Cutc",66388,3.01054105757311,0.169923596424638,0.388590775561887,0.697755506496876,"Not Sig."
"3117","Cux1","ENSMUSG00000029705",FALSE,"Cux1",13047,269.454759015506,-0.0781920493414402,0.442874451850115,0.738674925287318,"Not Sig."
"3118","Cwc15","ENSMUSG00000004096",FALSE,"Cwc15",66070,28.0847272284295,0.0421429073363791,0.684791402913697,0.876941255096055,"Not Sig."
"3119","Cwc22","ENSMUSG00000027014",FALSE,"Cwc22",80744,21.740445427673,-0.0480991289079837,0.632287112512939,0.852554283898077,"Not Sig."
"3120","Cwc25","ENSMUSG00000018541",FALSE,"Cwc25",67480,21.9489491492528,0.142051102475981,0.0983748229068192,0.381487905315472,"Not Sig."
"3121","Cwc27","ENSMUSG00000021715",FALSE,"Cwc27",67285,7.05791867419732,0.0286463995679058,0.824078457690051,0.942210996192723,"Not Sig."
"3122","Cwf19l1","ENSMUSG00000025200",FALSE,"Cwf19l1",72502,9.36631829012356,-0.084172381534578,0.467173892828462,0.752758779518626,"Not Sig."
"3123","Cwf19l2","ENSMUSG00000025898",FALSE,"Cwf19l2",244672,21.6933207168985,-0.0315935595746583,0.821197735372356,0.941787140219519,"Not Sig."
"3124","Cx3cl1","ENSMUSG00000031778",FALSE,"Cx3cl1",20312,23.4384388089816,-0.360014320808219,0.0243511244048864,0.193358614788643,"Not Sig."
"3125","Cx3cr1","ENSMUSG00000052336",FALSE,"Cx3cr1",13051,8.19284117706562,0.0517761839676532,0.930391151215196,0.978583185616449,"Not Sig."
"3126","Cxadr","ENSMUSG00000022865",FALSE,"Cxadr",13052,48.7964892148244,-0.810233036152014,0.153014301833103,0.464730487461931,"Not Sig."
"3127","Cxcl1","ENSMUSG00000029380",FALSE,"Cxcl1",14825,5.86859339241054,0.300222414047628,0.395795647124257,0.704053603091925,"Not Sig."
"3128","Cxcl10","ENSMUSG00000034855",FALSE,"Cxcl10",15945,0.483071420987312,-0.113145702246365,0.865136618922158,0.957496820155764,"Not Sig."
"3129","Cxcl12","ENSMUSG00000061353",FALSE,"Cxcl12",20315,973.707253478663,0.0323275075393499,0.854772549310052,0.953581463734523,"Not Sig."
